| Название растения | Место обитания | Тип растения | Время жизни | Опасно для человека |
|-------------------|----------------|--------------|-------------|-----------------------|
| Роза              | Сады, поля     | Цветок       | 5-7 лет     | Нет                   |
| Ель               | Леса, горы     | Хвойное      | 500-1000 лет| Нет                   |
| Кактус            | Пустыни        | Суккулент    | 15-200 лет  | Нет                   |
| Береза            | Леса, поля     | Лиственное   | 40-60 лет   | Нет                   |
| Алоэ              | Африка         | Суккулент    | 5-25 лет    | Нет                   |
| Папоротник        | Леса, болота   | Папоротник   | 1-2 года    | Нет                   |
| Сосна             | Леса, горы     | Хвойное      | 100-1000 лет| Нет                   |
| орхидея           | Тропические леса | Цветок    | 2-3 года    | Нет                   |
| Мак               | Поля           | Цветок       | 1 день      | Да                    |
| Ядовитый дуб      | Леса           | Лиственное   | 50-100 лет  | Да                    |
| белена            | Луга           | Трава        | 1 год       | Да                    |
| Цикламен          | Леса           | Цветок       | 2-3 года    | Да                    |
| плющ              | Леса           | Лиственное   | 50-100 лет  | Да                    |
| Боярышник         | Леса, поля     | Кустарник    | 10-20 лет   | Да                    |
| Черника           | Леса, поля     | Кустарник    | 10-20 лет   | Нет                   |
| Бамбук            | Тропические леса | Трава      | 2-120 лет   | Нет                   |
| Ландыш            | Луга, поля     | Цветок       | 1 день      | Нет                   |
| хвощ              | Леса, поля     | Трава        | 1 год       | Нет                   |
| Клевер            | Луга, поля     | Трава        | 2-3 года    | Нет                   |
| Рябина            | Леса, поля     | Дерево       | 50-100 лет  | Нет                   |